,Code5,Level1,Level2,Level3,Level4,Level5,Drug,ATC_5,ATC_4,ATC_3,ATC_2,ATC_1,covid
66,A02BA08,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,lafutidine,lafutidine,A02BA,A02B,A02,A0,A,No
67,A02BA51,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,"cimetidine, combinations","cimetidine, combinations",A02BA,A02B,A02,A0,A,No
68,A02BA53,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists,"famotidine, combinations","famotidine, combinations",A02BA,A02B,A02,A0,A,No
69,A02BB01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Prostaglandins,misoprostol,misoprostol,A02BB,A02B,A02,A0,A,No
70,A02BB02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Prostaglandins,enprostil,enprostil,A02BB,A02B,A02,A0,A,No
71,A02BC01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,omeprazole,omeprazole,A02BC,A02B,A02,A0,A,Yes
72,A02BC02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,pantoprazole,pantoprazole,A02BC,A02B,A02,A0,A,Yes
73,A02BC03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,lansoprazole,lansoprazole,A02BC,A02B,A02,A0,A,Yes
74,A02BC04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,rabeprazole,rabeprazole,A02BC,A02B,A02,A0,A,Yes
75,A02BC05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,esomeprazole,esomeprazole,A02BC,A02B,A02,A0,A,Yes
76,A02BC06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors,dexlansoprazole,dexlansoprazole,A02BC,A02B,A02,A0,A,Yes
77,A02BD01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,"omeprazole, amoxicillin and metronidazole","omeprazole, amoxicillin and metronidazole",A02BD,A02B,A02,A0,A,No
78,A02BD02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,"lansoprazole, tetracycline and metronidazole","lansoprazole, tetracycline and metronidazole",A02BD,A02B,A02,A0,A,No
79,A02BD03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,"lansoprazole, amoxicillin and metronidazole","lansoprazole, amoxicillin and metronidazole",A02BD,A02B,A02,A0,A,No
80,A02BD04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,"pantoprazole, amoxicillin and clarithromycin","pantoprazole, amoxicillin and clarithromycin",A02BD,A02B,A02,A0,A,No
81,A02BD05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,"omeprazole, amoxicillin and clarithromycin","omeprazole, amoxicillin and clarithromycin",A02BD,A02B,A02,A0,A,No
82,A02BD06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,"esomeprazole, amoxicillin and clarithromycin","esomeprazole, amoxicillin and clarithromycin",A02BD,A02B,A02,A0,A,No
83,A02BD07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,"lansoprazole, amoxicillin and clarithromycin","lansoprazole, amoxicillin and clarithromycin",A02BD,A02B,A02,A0,A,No
84,A02BD08,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Combinations for eradication of Helicobacter pylori,"bismuth subcitrate, tetracycline and metronidazole","bismuth subcitrate, tetracycline and metronidazole",A02BD,A02B,A02,A0,A,No
85,A02BX01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),carbenoxolone,carbenoxolone,A02BX,A02B,A02,A0,A,No
86,A02BX02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),sucralfate,sucralfate,A02BX,A02B,A02,A0,A,No
87,A02BX03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),pirenzepine,pirenzepine,A02BX,A02B,A02,A0,A,No
88,A02BX04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),methiosulfonium chloride,methiosulfonium chloride,A02BX,A02B,A02,A0,A,No
89,A02BX05,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),bismuth subcitrate,bismuth subcitrate,A02BX,A02B,A02,A0,A,No
90,A02BX06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),proglumide,proglumide,A02BX,A02B,A02,A0,A,No
91,A02BX07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),gefarnate,gefarnate,A02BX,A02B,A02,A0,A,No
92,A02BX08,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),sulglicotide,sulglicotide,A02BX,A02B,A02,A0,A,No
93,A02BX09,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),acetoxolone,acetoxolone,A02BX,A02B,A02,A0,A,No
94,A02BX10,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),zolimidine,zolimidine,A02BX,A02B,A02,A0,A,No
95,A02BX11,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),troxipide,troxipide,A02BX,A02B,A02,A0,A,No
96,A02BX12,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),bismuth subnitrate,bismuth subnitrate,A02BX,A02B,A02,A0,A,No
97,A02BX13,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),alginic acid,alginic acid,A02BX,A02B,A02,A0,A,No
98,A02BX51,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),"carbenoxolone, combinations excl. psycholeptics","carbenoxolone, combinations excl. psycholeptics",A02BX,A02B,A02,A0,A,No
99,A02BX71,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),"carbenoxolone, combinations with psycholeptics","carbenoxolone, combinations with psycholeptics",A02BX,A02B,A02,A0,A,No
100,A02BX77,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),"gefarnate, combinations with psycholeptics","gefarnate, combinations with psycholeptics",A02BX,A02B,A02,A0,A,No
101,A03AA01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group",oxyphencyclimine,oxyphencyclimine,A03AA,A03A,A03,A0,A,No
